ten_mon,ten_khac_bien_the,nhom_mon,mo_ta_ngan,thanh_phan_dac_trung,khu_vuc_pho_bien_o_Ha_Noi,an_sang_trua_toi_an_vat,muc_do_pho_bien,nguon_tham_khao
Bánh tráng nướng,pizza Việt Nam; bánh tráng nướng Đà Lạt,Ăn vặt vùng miền,"Bánh tráng nướng với trứng, hành, xúc xích/ruốc và sốt.","bánh tráng, trứng, hành, ruốc, xúc xích, sốt",Khu trường học; chợ đêm; phố cổ,ăn vặt; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Naan,garlic naan; cheese naan,Bánh Ấn Độ,"Bánh mì dẹt nướng lò tandoor, dùng kèm cà ri.","bột mì, sữa chua, men, bơ, tỏi/phô mai",Nhà hàng Ấn Độ toàn thành phố,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Baguette sandwich,sandwich kiểu Pháp,Bánh Âu,"Bánh mì dài kẹp thịt nguội, phô mai và rau.","baguette, jambon, phô mai, bơ, rau",Tiệm bánh; Tây Hồ; Hoàn Kiếm,sáng; trưa,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Quẩy nóng,quẩy; dầu cháo quẩy,Bánh chiên,"Bột mì chiên giòn, ăn riêng hoặc kèm phở, cháo, bún.","bột mì, men, dầu chiên",Phố cổ; chợ; quán phở cháo,sáng; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bánh giò,bánh giò nóng,Bánh đường phố,"Bánh bột gạo hình chóp có nhân thịt mộc nhĩ, dùng nóng.","bột gạo, thịt băm, mộc nhĩ, lá chuối, chả",Chợ; Thụy Khuê; Đông Các; toàn thành phố,sáng; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh mì pate,bánh mì Hà Nội; bánh mì kẹp chả,Bánh mì đường phố,"Bánh mì giòn kẹp pa-tê, chả, thịt và đồ chua tùy quán.","bánh mì, pate, chả, thịt, dưa góp, rau mùi",Phố cổ; chợ; toàn thành phố,sáng; trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Bánh bèo,bánh bèo Huế; bánh bèo chén,Bánh miền Trung,"Bánh gạo hấp nhỏ phủ tôm chấy, mỡ hành và nước mắm.","bột gạo, tôm chấy, mỡ hành, tóp mỡ, nước mắm",Quán Huế; Đống Đa; Cầu Giấy,ăn vặt; trưa,Phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Bánh khoái,bánh khoái Huế,Bánh miền Trung,"Bánh bột chiên giòn nhân tôm thịt, ăn với rau và nước lèo.","bột gạo, tôm, thịt, giá, rau, nước lèo",Quán Huế; khu trung tâm,trưa; tối,Khá phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Bánh lọc,bánh bột lọc; bánh lọc trần,Bánh miền Trung,"Bánh bột năng trong dai, nhân tôm thịt, chấm nước mắm.","bột năng, tôm, thịt ba chỉ, hành, nước mắm",Quán Huế; chợ; khu ăn vặt,ăn vặt; trưa,Rất phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Bánh nậm,bánh nậm Huế,Bánh miền Trung,Bánh bột gạo mỏng gói lá với nhân tôm thịt.,"bột gạo, tôm, thịt, lá chuối, nước mắm",Quán Huế; khu trung tâm,ăn vặt; trưa,Khá phổ biến,https://www.vietnam.travel/things-to-do/how-eat-local-hue
Bánh khúc,xôi khúc; khúc nóng,Bánh nếp miền Bắc,"Bánh nếp lá khúc nhân đậu thịt, thường phủ xôi nếp.","bột nếp, lá khúc, đậu xanh, thịt ba chỉ",Hàng rong; phố cổ; chợ,sáng; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh rán ngọt,bánh rán đường; bánh cam miền Bắc,Bánh ngọt đường phố,"Bánh nếp chiên nhân đậu xanh, áo đường hoặc vừng.","bột nếp, đậu xanh, đường, vừng",Chợ; hàng rong; khu trường học,ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Crêpe,crepe ngọt; crepe mặn,Bánh Pháp,"Bánh bột mỏng áp chảo, cuộn nhân ngọt hoặc mặn.","bột mì, trứng, sữa, bơ, trái cây/giăm bông",Phố cổ; trung tâm thương mại; quán cà phê,ăn vặt; sáng,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Croissant,bánh sừng bò,Bánh Pháp,"Bánh ngàn lớp bơ hình sừng, ăn sáng hoặc dùng với cà phê.","bột mì, bơ, men, sữa, trứng",Hoàn Kiếm; Tây Hồ; Ba Đình; tiệm bánh,sáng; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bánh cuốn,bánh cuốn Thanh Trì; bánh cuốn nhân thịt; bánh cuốn trứng,Bánh và cuốn,"Lá bánh gạo hấp mỏng, dùng với chả và nước mắm; bản nhân có thịt mộc nhĩ.","bột gạo, thịt lợn, mộc nhĩ, hành phi, chả",Thanh Trì; Ba Đình; Hoàn Kiếm; toàn thành phố,sáng; ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Bánh xèo,bánh xèo miền Trung; bánh xèo miền Nam,Bánh Việt Nam,"Bánh bột nghệ chiên giòn nhân tôm thịt giá, cuốn rau.","bột gạo, nghệ, tôm, thịt, giá, rau, bánh tráng",Toàn thành phố; quán miền Trung/Nam,trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh tẻ,bánh răng bừa,Bánh vùng đồng bằng Bắc Bộ,"Bánh gạo gói lá có nhân thịt và mộc nhĩ, hấp chín.","bột gạo, thịt lợn, mộc nhĩ, hành, lá dong",Chợ; khu dân cư; ngoại thành,sáng; ăn vặt,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Cháo sườn,cháo sườn quẩy; cháo bột sườn,Cháo Hà Nội,"Cháo xay mịn nấu nước xương và thịt sườn, ăn cùng quẩy.","bột gạo, sườn, ruốc, quẩy, tiêu",Đống Đa; Hoàn Kiếm; chợ dân sinh,sáng; ăn vặt; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Cháo trai,cháo trai quẩy,Cháo miền Bắc,"Cháo sánh với thịt trai xào thơm, ăn kèm rau răm và quẩy.","gạo, trai, rau răm, hành phi, quẩy",Các chợ; Đống Đa; Thanh Xuân,sáng; ăn vặt,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Cháo lòng,cháo lòng tiết canh,Cháo và nội tạng,"Cháo nấu nước luộc lòng, dùng với lòng lợn và rau thơm.","gạo, lòng lợn, tiết, hành, rau răm",Khu dân cư; chợ; ngoại thành,sáng; trưa,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Chè thập cẩm,chè hỗn hợp,Chè,"Cốc chè kết hợp đậu, thạch, trân châu, dừa và si-rô.","đậu đỏ/đậu xanh, thạch, trân châu, dừa, đường",Toàn thành phố,ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Chè sen long nhãn,chè hạt sen; long nhãn hạt sen,Chè Hà Nội,"Chè thanh với hạt sen lồng trong nhãn, dùng nóng hoặc lạnh.","hạt sen, long nhãn, đường phèn",Phố cổ; nhà hàng Việt,ăn vặt,Phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Chè khúc bạch,khúc bạch trái cây,Chè hiện đại,"Khối sữa đông mềm dùng cùng nước đường, nhãn và hạnh nhân.","sữa/kem, gelatin, nhãn, hạnh nhân, đường",Phố cổ; Cầu Giấy; khu sinh viên,ăn vặt,Phổ biến,https://vietnam.travel/node/1560
Bánh trôi tàu,sủi dìn kiểu Hà Nội,Chè nóng,Viên nếp nhân đậu/lạc trong nước đường gừng nóng.,"bột nếp, đậu xanh/vừng đen, gừng, đường, lạc",Phố cổ; Hàng Cân; Đống Đa,ăn vặt; tối,Phổ biến,https://vietnam.travel/node/1560
Chè bà cốt,chè con ong,Chè truyền thống,Nếp nấu mật/đường nâu và gừng thành món chè sánh thơm.,"gạo nếp, mật mía/đường nâu, gừng",Phố cổ; chợ truyền thống,ăn vặt,Ít gặp hơn,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Cơm rang dưa bò,cơm rang bò dưa chua,Cơm bình dân,Cơm rang săn hạt với thịt bò xào dưa cải chua.,"cơm nguội, thịt bò, dưa cải, trứng, hành",Phố cổ; Đống Đa; quán ăn đêm,trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Cơm rang thập cẩm,cơm chiên thập cẩm; cơm rang Dương Châu,Cơm bình dân,"Cơm rang với trứng, rau củ, giò hoặc thịt, tiện cho bữa nhanh.","cơm, trứng, cà rốt, đậu Hà Lan, giò/tôm",Toàn thành phố,trưa; tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Phở cuốn,phở cuốn Ngũ Xã,Cuốn Hà Nội,"Bánh phở bản lớn cuốn bò xào, rau sống, chấm nước mắm.","bánh phở, thịt bò, xà lách, rau thơm, nước mắm",Ngũ Xã; Ba Đình; Trúc Bạch,trưa; tối; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bánh tôm Hồ Tây,bánh tôm Tây Hồ,Đặc sản Hà Nội,"Tôm đặt trên khoai/bột chiên giòn, ăn rau sống và nước mắm.","tôm, khoai lang, bột, rau sống, nước mắm",Hồ Tây; Tây Hồ; phố cổ,trưa; tối; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bún chả,bún chả Hà Nội; bún chả kẹp que,Đặc sản Hà Nội,"Thịt lợn nướng và chả viên dùng với bún, rau và nước mắm chua ngọt.","bún, ba chỉ, thịt băm, nước mắm, đu đủ xanh",Phố cổ; Hai Bà Trưng; Đống Đa; toàn thành phố,trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Chả cá Lã Vọng,chả cá; chả cá lăng,Đặc sản Hà Nội,"Cá ướp nghệ riềng, áp chảo với thì là và hành, ăn cùng bún.","cá lăng, nghệ, riềng, thì là, bún, mắm tôm",Hoàn Kiếm; phố Chả Cá; Ba Đình,trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Chả cốm,chả thịt cốm,Đặc sản Hà Nội,"Chả thịt trộn cốm dẻo, chiên vàng; thường ăn với bún đậu.","thịt lợn, giò sống, cốm, nước mắm",Phố cổ; chợ; quán bún đậu,trưa; tối; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Vịt cỏ Vân Đình,vịt nướng Vân Đình; vịt luộc,Đặc sản ngoại thành Hà Nội,"Vịt cỏ chế biến nướng/luộc, chấm nước mắm tỏi hoặc xì dầu.","vịt cỏ, riềng, sả, mẻ, nước chấm",Ứng Hòa; Hà Đông; quán vịt toàn thành phố,trưa; tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Thịt trâu gác bếp,trâu hun khói,Đặc sản Tây Bắc,"Thịt trâu tẩm mắc khén, hun khói, xé chấm chẩm chéo.","thịt trâu, mắc khén, hạt dổi, ớt, gừng",Quán Tây Bắc; cửa hàng đặc sản,ăn vặt; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Kem Hồ Tây,kem Thủy Tạ; kem que Hồ Gươm,Đồ ngọt Hà Nội,Kem que/ốc quế quen thuộc quanh các hồ và điểm vui chơi.,"sữa, đường, hương vani/cốm/sô-cô-la",Hồ Tây; Hồ Gươm,ăn vặt,Phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Kem Tràng Tiền,kem que Tràng Tiền; kem ốc quế,Đồ ngọt Hà Nội,"Kem gắn với địa danh Tràng Tiền, phổ biến các vị cốm, đậu xanh, cacao.","sữa, đường, cốm/đậu xanh/cacao",Tràng Tiền; Hoàn Kiếm; cửa hàng toàn thành phố,ăn vặt,Biểu tượng,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Tào phớ,tàu hũ nước đường; đậu hoa,Đồ ngọt Hà Nội,"Đậu phụ non mềm chan nước đường hoa nhài/gừng, có thể thêm thạch.","đậu nành, đường, gừng/hoa nhài, thạch",Phố cổ; chợ; hàng rong,ăn vặt,Rất phổ biến,https://vietnam.travel/node/1560
Cà phê trứng,egg coffee,Đồ uống Hà Nội,Cà phê đậm phủ kem trứng đánh với đường và sữa.,"cà phê, lòng đỏ trứng, sữa đặc, đường",Phố cổ; Hoàn Kiếm; Ba Đình,sáng; ăn vặt; tối,Biểu tượng,https://vietnam.travel/things-to-do/must-try-food-in-hanoi
Nộm hoa chuối,gỏi bắp chuối,Gỏi và nộm,"Hoa chuối thái mỏng trộn thịt/tai heo, lạc và rau thơm.","hoa chuối, tai heo/gà, lạc, rau thơm, nước mắm",Nhà hàng Việt; phố cổ,trưa; tối,Phổ biến,https://vietnam.travel/node/1560
Lẩu ếch,lẩu ếch măng cay,Lẩu,"Lẩu cay thơm với ếch xào măng, rau và mì/bún.","ếch, măng, lá lốt, ớt, rau, mì",Cầu Giấy; Đống Đa; Thanh Xuân,tối,Rất phổ biến,https://vietnam.travel/node/1560
Lẩu gà,lẩu gà lá é; lẩu gà nấm,Lẩu,"Gà nấu nước lẩu với nấm hoặc lá thơm, dùng cho nhóm.","gà, nấm/lá é, rau, mì/bún",Toàn thành phố,tối,Rất phổ biến,https://vietnam.travel/node/1560
Lẩu riêu cua bắp bò,lẩu riêu cua; lẩu cua đồng,Lẩu Hà Nội,"Nồi lẩu chua dịu từ cua và cà chua, ăn cùng bò, đậu và rau.","cua đồng, bắp bò, đậu phụ, cà chua, rau, bún",Toàn thành phố,tối,Rất phổ biến,https://vietnam.travel/node/1560
Lẩu cá kèo,cá kèo lá giang,Lẩu miền Nam,Lẩu chua thanh từ lá giang với cá kèo và rau.,"cá kèo, lá giang, rau, bún, ớt",Một số quán miền Nam,tối,Ít gặp hơn,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Lẩu mắm,lẩu mắm miền Tây,Lẩu miền Nam,"Lẩu mắm đậm vị với hải sản, thịt và nhiều rau miền Tây.","mắm cá, tôm, mực, thịt, cà tím, rau",Một số quán miền Tây,tối,Ít gặp hơn,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Lẩu Thái,tom yum hotpot,Lẩu quốc tế phổ biến,"Lẩu chua cay kiểu Thái với hải sản, thịt và rau.","sả, riềng, lá chanh, ớt, hải sản, rau",Trung tâm thương mại; toàn thành phố,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi
Bò nhúng dấm,bò nhúng giấm,Lẩu và cuốn,"Bò thái mỏng nhúng nước giấm sả hành, cuốn bánh tráng.","thịt bò, giấm, sả, hành, bánh tráng, rau",Hai Bà Trưng; Ba Đình; toàn thành phố,tối,Phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Koshari,koshary,Món Ai Cập,"Tô cơm, mì, đậu và hành giòn với sốt cà chua cay.","cơm, pasta, đậu lăng, đậu gà, hành, cà chua",Một số quán Ai Cập/Trung Đông ở Tây Hồ,trưa; tối,Ít gặp hơn,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Fish and chips,cá tẩm bột và khoai chiên,Món Anh,Phi-lê cá áo bột chiên dùng với khoai và sốt tartar.,"cá phi lê, bột, khoai tây, tartar, chanh",Tây Hồ; Hoàn Kiếm; pub/quán Âu,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Biryani,cơm biryani gà/cừu,Món Ấn Độ,Cơm basmati nấu lớp với thịt và gia vị thơm.,"gạo basmati, gà/cừu, nghệ tây, hành, gia vị",Tây Hồ; Hoàn Kiếm; Ba Đình,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Cà ri bơ gà,butter chicken; murgh makhani,Món Ấn Độ,"Gà trong sốt cà chua bơ kem, ăn với cơm hoặc naan.","gà, cà chua, bơ, kem, garam masala",Tây Hồ; Hoàn Kiếm; Ba Đình,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Chicken tikka masala,gà tikka masala,Món Ấn Độ,Gà nướng tandoor nấu trong sốt cà chua gia vị.,"gà, sữa chua, cà chua, kem, garam masala",Tây Hồ; Hoàn Kiếm; Ba Đình,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Samosa,bánh samosa rau/thịt,Món Ấn Độ,"Bánh tam giác chiên nhân khoai, đậu hoặc thịt và gia vị.","bột mì, khoai tây, đậu Hà Lan, gia vị, dầu",Nhà hàng Ấn Độ; Tây Hồ; Hoàn Kiếm,ăn vặt; trưa,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bít tết,beef steak; steak frites,Món Âu,"Miếng bò áp chảo/nướng theo độ chín, ăn cùng sốt và khoai.","thịt bò, bơ, tiêu, sốt, khoai tây",Hoàn Kiếm; Tây Hồ; Ba Đình; trung tâm thương mại,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bánh mì chảo,bò né; bánh mì áp chảo,Món chảo,"Chảo nóng có trứng, pa-tê, xúc xích hoặc bò sốt, ăn với bánh mì.","bánh mì, trứng, pate, xúc xích, bò, sốt",Đống Đa; Cầu Giấy; Thanh Xuân,sáng; trưa; tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Nem rán,chả giò; nem Sài Gòn,Món cuốn chiên,"Cuốn bánh đa nem nhân thịt miến mộc nhĩ, chiên vàng.","bánh đa nem, thịt băm, miến, mộc nhĩ, trứng",Toàn thành phố; nhà hàng Việt,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Gỏi cuốn,nem cuốn; cuốn tôm thịt,Món cuốn miền Nam,"Bánh tráng cuốn tôm, thịt, bún và rau, chấm tương hoặc mắm.","bánh tráng, tôm, thịt, bún, rau, tương",Toàn thành phố; nhà hàng Việt,trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bánh tráng cuốn thịt heo,cuốn thịt heo Đà Nẵng,Món cuốn miền Trung,"Thịt heo luộc cuốn bánh tráng, rau và lát mì, chấm mắm nêm.","thịt heo, bánh tráng, bánh phở, rau, mắm nêm",Cầu Giấy; Thanh Xuân; quán Đà Nẵng,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Bún cá Nha Trang,bún chả cá Nha Trang,Món duyên hải miền Trung,"Bún nước trong với chả cá và cá, ăn cùng rau sống.","bún, chả cá, cá biển, cà chua, hành",Quán Nha Trang; Cầu Giấy; trung tâm,sáng; trưa,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Mì bò Đài Loan,Taiwanese beef noodle soup,Món Đài Loan,"Mì nước đậm với bò hầm, rau cải chua và gia vị.","mì, bắp bò, xì dầu, hồi, cải chua",Cầu Giấy; Hoàn Kiếm; trung tâm thương mại,trưa; tối,Khá phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bún đậu mắm tôm,bún đậu; mẹt bún đậu,Món đường phố miền Bắc,"Mẹt bún lá, đậu rán, chả cốm và thịt luộc chấm mắm tôm.","bún lá, đậu phụ, mắm tôm, chả cốm, thịt chân giò",Toàn thành phố,trưa; tối,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bibimbap,cơm trộn Hàn Quốc; dolsot bibimbap,Món Hàn,"Cơm trộn rau, thịt, trứng và tương ớt, có bản thố đá.","cơm, rau, thịt bò, trứng, gochujang, dầu mè",Mỹ Đình; Cầu Giấy; Ba Đình,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Bulgogi,bò nướng Hàn Quốc,Món Hàn,"Thịt bò ướp xì dầu, lê và dầu mè rồi nướng/xào.","thịt bò, xì dầu, lê, tỏi, dầu mè",Mỹ Đình; Cầu Giấy; nhà hàng Hàn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Gà rán Hàn Quốc,yangnyeom chicken; gà sốt cay; gà tỏi,Món Hàn,"Gà chiên hai lần với sốt cay ngọt, xì dầu tỏi hoặc phô mai.","gà, bột chiên, gochujang, tỏi, si-rô",Mỹ Đình; Cầu Giấy; Thanh Xuân; giao đồ ăn,trưa; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Japchae,miến trộn Hàn Quốc,Món Hàn,"Miến khoai lang xào với rau, thịt và dầu mè.","miến khoai lang, rau, thịt bò, xì dầu, dầu mè",Mỹ Đình; Cầu Giấy; nhà hàng Hàn,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Kimbap,gimbap; cơm cuộn Hàn Quốc,Món Hàn,"Cơm và nhân rau/thịt cuộn rong biển, cắt khoanh.","cơm, rong biển, trứng, cà rốt, củ cải vàng, thịt",Mỹ Đình; Cầu Giấy; khu trường học,trưa; ăn vặt; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Kimchi jjigae,canh kimchi,Món Hàn,Canh cay nóng từ kimchi với thịt lợn hoặc cá ngừ và đậu phụ.,"kimchi, thịt/cá ngừ, đậu phụ, gochugaru, hành",Mỹ Đình; Cầu Giấy; nhà hàng Hàn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
Lẩu quân đội,budae jjigae,Món Hàn,"Lẩu cay có xúc xích, thịt hộp, mì, kimchi và phô mai.","kimchi, xúc xích, thịt hộp, mì, đậu, phô mai",Mỹ Đình; Cầu Giấy; Thanh Xuân,tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19; https://welcome.deliveryk.com/en/best-korean-bunsik-in-hanoi-must-try-tokbokki-kimbap-korean-street-food-spots/
