ma_mon,ten_mon,nhom_mon,stt_thanh_phan,thanh_phan_goc,thanh_phan_chuan_hoa,ten_tham_chieu_tieng_anh,nhom_thanh_phan,trang_thai_tham_chieu,vai_tro_trong_mon,phan_an_duoc,loai_dong,nhom_lua_chon,tinh_vao_tong_mac_dinh,khoi_luong_uoc_tinh_g_moi_suat,kcal_tren_100g,kcal_uoc_tinh_thanh_phan_trong_suat,tong_kcal_uoc_tinh_tu_thanh_phan_da_liet_ke_mac_dinh,ty_le_kcal_trong_tong_thanh_phan_da_liet_ke_phan_tram,co_so_khoi_luong,pham_vi_du_lieu,nguon_kcal,ma_du_lieu_nguon,energy_nutrient_field,ten_ban_ghi_nguon,url_nguon_kcal,url_nguon_mon_goc,do_tin_cay_kcal_100g,do_tin_cay_khoi_luong,ghi_chu,ngay_tra_cuu
HN003,Bánh rán mặn,Ăn vặt chiên,2,thịt băm,Thịt lợn băm chín,"Ground pork, cooked",thịt,chín,dam_chinh_hoac_nhan,có,thành phần được liệt kê,,có,70,297,207.9,631,32.9,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Ground pork, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Giả định thịt lợn băm độ béo vừa. Thịt chín dùng làm nhân/topping; nếu là nguyên liệu đầu tiên của món có thể nâng lên 90 g.,2026-08-02
HN003,Bánh rán mặn,Ăn vặt chiên,3,miến,Miến dong đã nấu,"Glass noodles, cooked",mì/bún,"chín, ngậm nước",tinh_bot_chinh_da_chin,có,thành phần được liệt kê,,có,160,80,128,631,20.3,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Glass noodles, cooked",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Mật độ năng lượng sau khi nấu. Khối lượng miến đã ngâm/nấu trong một phần.,2026-08-02
HN003,Bánh rán mặn,Ăn vặt chiên,4,mộc nhĩ,Mộc nhĩ ngâm nở,"Wood ear mushroom, rehydrated",nấm,ngâm nở,nam_rau_phu,có,thành phần được liệt kê,,có,35,25,8.8,631,1.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Wood ear mushroom, rehydrated",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,trung_binh,thap,Không dùng giá trị mộc nhĩ khô. Khối lượng nấm/mộc nhĩ sau ngâm hoặc nấu trong một suất.,2026-08-02
HN003,Bánh rán mặn,Ăn vặt chiên,5,đu đủ,Đu đủ chín,"Papaya, ripe, raw",trái cây,"tươi, chín",rau_cu_an_kem,có,thành phần được liệt kê,,có,70,43,30.1,631,4.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Papaya, ripe, raw",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region,cao,thap,Đu đủ chín phần ăn được. Khối lượng rau/củ ăn kèm hoặc làm nộm trong một phần.,2026-08-02
HN004,Nem chua rán,Ăn vặt đường phố,1,thịt lợn,"Thịt lợn chín, nạc mỡ vừa","Pork, cooked, lean and fat",thịt,chín,dam_chinh,có,thành phần được liệt kê,,có,80,242,193.6,650.9,29.7,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Pork, cooked, lean and fat",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Giá trị đại diện nhiều phần cắt. Khối lượng thịt lợn thành phẩm trong một suất.,2026-08-02
HN004,Nem chua rán,Ăn vặt đường phố,2,bì,Bì lợn chín,"Pork skin, cooked",thịt/nội tạng,chín,dam_noi_tang_bi,có,thành phần được liệt kê,,có,60,550,330,650.9,50.7,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Pork skin, cooked",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Biến thiên theo lượng mỡ còn bám. Khối lượng nội tạng/bì chín trong một phần.,2026-08-02
HN004,Nem chua rán,Ăn vặt đường phố,3,thính,Thính gạo rang,Roasted rice powder,bột/ngũ cốc,"khô, rang",phu_gia_len_men_tao_huong,có,thành phần được liệt kê,,có,4,370,14.8,650.9,2.3,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Roasted rice powder,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Proxy từ gạo rang xay. Lượng men/thính khô trong một phần.,2026-08-02
HN004,Nem chua rán,Ăn vặt đường phố,4,bột chiên,Bột chiên pha sẵn,"Seasoned frying flour, dry",bột/ngũ cốc,khô,ao_bot,có,thành phần được liệt kê,,có,25,360,90,650.9,13.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Seasoned frying flour, dry",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,thap,thap,Công thức bột pha sẵn thay đổi theo hãng. Lượng bột áo/bột chiên bám lại trên một suất sau chế biến.,2026-08-02
HN004,Nem chua rán,Ăn vặt đường phố,5,tương ớt,Tương ớt,Chili sauce,nước sốt,chế biến sẵn,sot_nuoc_cham,có,thành phần được liệt kê,,có,25,90,22.5,650.9,3.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Chili sauce,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Loại tương ớt ngọt thông dụng. Lượng sốt/nước chấm bám và được ăn trong một suất.,2026-08-02
HN005,Nộm bò khô,Ăn vặt Hà Nội,1,đu đủ xanh,Đu đủ xanh,"Green papaya, raw",rau củ/trái cây,"tươi, sống",rau_cu_an_kem,có,thành phần được liệt kê,,có,70,39,27.3,267.8,10.2,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),"Green papaya, raw",https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Phần thịt quả non ăn được. Khối lượng rau/củ ăn kèm hoặc làm nộm trong một phần.,2026-08-02
HN005,Nộm bò khô,Ăn vặt Hà Nội,2,bò khô,Thịt bò khô,Beef jerky,thịt chế biến,sấy khô,dam_kho_topping,có,thành phần được liệt kê,,có,35,410,143.5,267.8,53.6,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),USDA SR28 NDB_No 19002,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"BEEF JERKY,CHOPD&FORMED",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,"Biến thiên theo đường và độ ẩm. Thịt bò khô đã mất nước, dùng làm topping/nộm. Khớp gần với bản ghi USDA SR28; điểm khớp 100%.",2026-08-02
HN005,Nộm bò khô,Ăn vặt Hà Nội,3,lạc,Lạc nhân,Peanuts,hạt/đậu,khô hoặc rang,hat_beo_topping,có,thành phần được liệt kê,,có,15,567,85.1,267.8,31.8,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Peanuts,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,"Nhân lạc ăn được, không vỏ. Một nhúm hạt/lạc/vừng làm topping.",2026-08-02
HN005,Nộm bò khô,Ăn vặt Hà Nội,4,rau kinh giới,Rau kinh giới,Vietnamese balm leaves,rau thơm,"tươi, sống",rau_thom,có,thành phần được liệt kê,,có,15,44,6.6,267.8,2.5,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Vietnamese balm leaves,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,trung_binh,thap,Ước tính cho lá tươi. Một nhúm rau thơm/lá gia vị ăn được trong một suất.,2026-08-02
HN005,Nộm bò khô,Ăn vặt Hà Nội,5,nước mắm,Nước mắm,Fish sauce,gia vị/nước chấm,dạng lỏng,nuoc_cham_gia_vi_long,có,thành phần được liệt kê,,có,15,35,5.3,267.8,2,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Fish sauce,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/,cao,thap,"Loại nước mắm thông dụng. Lượng nước chấm/gia vị lỏng thực ăn trong một suất, không phải toàn bộ bát chấm.",2026-08-02
HN006,Ngao hấp sả,Ăn vặt hải sản,1,ngao,Ngao chín,"Clams, cooked",hải sản,"chín, thịt ăn được",dam_chinh_nhuyen_the,có,thành phần được liệt kê,,có,90,148,133.2,191.9,69.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Clams, cooked",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19,cao,thap,"Không tính vỏ. Khối lượng ruột/thịt ăn được, không tính vỏ.",2026-08-02
HN006,Ngao hấp sả,Ăn vặt hải sản,2,sả,Sả tươi,"Lemongrass, raw",gia vị,tươi,gia_vi_tuoi,có,thành phần được liệt kê,,có,8,99,7.9,191.9,4.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Lemongrass, raw",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19,cao,thap,Phần thân ăn được. Lượng gia vị tươi ước/nấu trong một suất; không nhất thiết ăn hết phần xác.,2026-08-02
HN006,Ngao hấp sả,Ăn vặt hải sản,3,ớt,Ớt tươi,"Chili pepper, raw",gia vị/rau quả,"tươi, sống",gia_vi,có,thành phần được liệt kê,,có,2,40,0.8,191.9,0.4,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Chili pepper, raw",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19,cao,thap,Ớt đỏ tươi đại diện. Lượng gia vị ước tính được ăn trong một suất.,2026-08-02
HN006,Ngao hấp sả,Ăn vặt hải sản,4,lá chanh,Lá chanh Thái/chanh ta,Kaffir lime leaves,rau thơm/gia vị,tươi,la_tao_huong,có,thành phần được liệt kê,,có,5,43,2.2,191.9,1.1,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,Viện Dinh dưỡng Việt Nam / FAO (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,NIN/FAO Energy kcal (trên 100 g phần ăn được),Kaffir lime leaves,https://viendinhduong.vn/en/cong-cu-va-tien-ich/nutritional-value-of-food; https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19,thap,thap,Proxy từ lá gia vị tươi; lượng dùng rất nhỏ. Lượng lá tạo hương/chua trong một suất.,2026-08-02
HN006,Ngao hấp sả,Ăn vặt hải sản,5,me,Thịt quả me,"Tamarind pulp, raw",trái cây/gia vị,phần thịt quả,qua_tao_chua,có,thành phần được liệt kê,,có,20,239,47.8,191.9,24.9,ước tính biên tập; không phải công thức định lượng của từng quán,toàn bộ thành phần đặc trưng đã ghi trong CSV gốc; không phải công thức đầy đủ của mọi quán,USDA SR28 / FoodData Central (proxy),không gắn mã riêng; đối chiếu theo thực phẩm tương đương,USDA SR28 Energ_Kcal (trên 100 g phần ăn được),"Tamarind pulp, raw",https://catalog.data.gov/dataset/composition-of-foods-raw-processed-prepared-usda-national-nutrient-database-for-standar-28,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19,cao,thap,Không tính hạt và vỏ. Khối lượng phần nước/thịt quả dùng để tạo vị; không tính vỏ/hạt.,2026-08-02
